"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"LRRC25",7.67616051411276,6.12886389358043,8.84240596175818,6.88307175867052,8.15511463734015,7.28740641937512,8.44098171459625,7.88885827446869,8.13106106470006,6.89743838364455,8.77841914407667,8.76305220283823,8.37028632674769,6.79813104580002,8.36300283338279,7.91356729968281
"SHE",3.54734307481738,3.70437454964779,5.31498776690954,4.59026444119094,4.63962479812916,4.05637705808125,5.35537710919781,5.16192476973885,3.97186483203238,4.6233024896071,5.44507191753205,4.69849989615864,3.54651366169893,4.49232162410435,4.15107326716497,4.38171343959206
"RNF19B",9.82828855417866,10.6035440455926,9.83209804458167,10.8526404636356,10.085453860501,10.9227419046298,9.31822746178266,10.6441379034422,9.55431698756655,10.3630350021613,9.14504224384631,10.0357447215455,10.0113241836379,11.0518468486773,9.57378838740635,10.808370605432
"CMPK2",7.09052064780129,9.11499920618655,7.17920033560485,10.2480195684483,7.93156863231535,10.3910145244343,7.15811558993118,9.56954514377393,7.5330765261088,9.7453727142237,6.7524244400772,8.52366079448493,8.3562527684837,10.3929161234503,7.39719913997828,9.91005571808994
"BBS5",4.89785987049238,2.91590597238865,5.53015564611323,4.78170822578956,5.50052162131933,4.53728238597455,6.8061335850815,5.74048567014907,4.7964787145739,3.70787484053708,6.29754898098646,5.54193357704569,4.76634362018978,4.19862557504454,5.45316193510362,5.30647343396368
"TTC32",7.16717509542363,8.2347020693917,5.88568177949281,6.38362102111485,6.3665888415398,7.19240175600872,5.4402164205696,5.91217316455749,6.19266262569081,7.12596942489877,4.6039698593288,5.19990948466435,7.28146079184897,7.39749811560932,5.63489418188551,5.97410032217618
"GALM",6.40657918087345,6.4771571984519,7.69889722239852,7.52442760821953,7.34263028710798,7.39095935530611,8.42099180995225,8.41206125953385,7.07205509422293,7.03097602721161,8.49028724814218,8.31897580209693,7.02530909562222,6.97912539636132,7.97775239473427,8.20041013220876
"CD200R1",3.26052126153138,2.64148577267509,2.6748931316059,2.33596927187053,3.98623507407047,4.77448222444729,7.26687449745907,7.41215131405121,3.0226137229637,3.16239369511,7.06494009554263,6.41713969669116,3.5738558314449,3.53753328562303,5.88869252933022,6.05743587402287
"FAM241A",9.30820953549136,9.60435507588625,8.35794069085077,9.09167744364723,8.31584190077595,8.5487783096151,7.35287809479527,7.88045163506774,8.79344573175876,9.06166815464419,7.75894368780684,8.42499836999963,8.8883295658449,9.05272506331898,7.58693743708077,8.32177242905346
"TMEM171",4.25130778823876,5.59341315871831,6.2486125904404,9.1485275195001,4.80286330788432,6.68867133047572,5.83906749225154,8.37346933993735,5.24145977560068,6.17627970743994,5.90625013099427,7.13667232070231,4.06417312418914,4.96866616226455,5.61843828398259,7.42014699942626
"NCOA7",7.00824857435765,8.19659778876906,7.37018246728966,9.95272621704399,7.53144015533306,9.59715979441402,7.99973351586407,9.76154821987636,6.79755917800472,8.55171501838124,7.42034033105968,8.41290662570614,6.65899939637835,9.29354937585734,7.83749787445304,9.66944463804898
"CD109",8.87020933136212,7.86000369851409,7.46622586699072,6.85921171538382,8.24043227415254,7.45716673844438,7.02131031450474,6.8343142398576,8.03779735865781,7.53829249386026,6.72635902101224,6.4548963649724,7.53732618816326,7.26563554320063,6.87464992683047,6.47408008386435
"COX11",5.24190911651945,5.57578961706742,6.65405334119023,6.30710840468853,6.0328220667418,6.07751461138143,6.99163171514075,6.99310768299702,5.80503119389937,5.73486001422381,6.83477901432671,6.92268999697562,5.67023882180013,5.47636586189503,6.71341864665825,6.42413325450076
